RUN,Group_RUN,path
R5577,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5577/R5577.FLEN.csv
R5310,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5310/R5310.FLEN.csv
R5435,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5435/R5435.FLEN.csv
R5642,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5642/R5642.FLEN.csv
R5621,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5621/R5621.FLEN.csv
R5616,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5616/R5616.FLEN.csv
R5461,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5461/R5461.FLEN.csv
R5675,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5675/R5675.FLEN.csv
R5566,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5566/R5566.FLEN.csv
batch_150724_160724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_150724_160724/FLEN.csv
batch_200724_220724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_200724_220724/FLEN.csv
batch_190824,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_190824/FLEN.csv
batch_170724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_170724/FLEN.csv
batch_130824,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_130824/FLEN.csv
batch_310724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_310724/FLEN.csv
batch_190724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_190724/FLEN.csv
batch_170824,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_170824/FLEN.csv
batch_240824,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_240824/FLEN.csv
batch_180724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_180724/FLEN.csv
batch_240724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_240724/FLEN.csv
batch_120724,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_120724/FLEN.csv
batch_270824,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_270824/FLEN.csv
batch_180824,from_ECD_WGS,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/from_ECD_WGS/batch_180824/FLEN.csv
